2836	2645	5	1386201600
28	2645	5	1387670400
5369	2645	5	1059004800
3044	2645	5	1012176000
2861	2645	4	1388966400
5115	2645	5	1378425600
4438	2645	5	1391817600
4276	2645	4	1003449600
5401	2645	5	1355616000
2606	2645	4	1388793600
6072	2645	5	1036195200
5395	2645	4	1388188800
4449	2645	4	1354233600
139	2645	3	1102377600
4379	2645	5	1387065600
388	2616	5	1077321600
3680	2616	5	1232582400
3960	2616	5	1219881600
1320	2616	5	1104969600
1163	2616	5	1173312000
2709	2616	5	1125273600
1369	2616	5	1322870400
1727	2616	5	1143072000
401	2616	5	1347148800
4044	2616	5	974937600
2059	2616	5	1397520000
283	2616	5	1176249600
3695	2616	4	1387065600
3962	2616	4	978566400
1392	2616	4	1031702400
1897	2616	5	1233273600
2977	2616	5	1172620800
561	1170	5	992649600
155	1170	5	1379721600
2212	1170	5	1069977600
1854	1170	5	976665600
97	1170	5	1113955200
28	1170	5	1036368000
565	1170	5	1259452800
4382	1170	5	1321315200
781	1170	5	1354492800
1738	1170	5	1355184000
980	1170	5	1101168000
414	1170	5	1104019200
340	1170	5	1260489600
200	1170	4	1291161600
633	1170	5	1176768000
404	1170	5	972604800
1449	1170	5	1069372800
403	1170	5	1133395200
3080	1170	5	1287619200
3101	1170	5	1389571200
57	1170	4	1286236800
761	1170	3	1230163200
1091	1170	4	1322352000
328	1170	4	1324771200
653	1170	5	1100908800
4744	1170	4	972432000
2302	1170	4	1133222400
3205	1170	5	1221264000
277	1170	5	1167436800
4019	1170	5	1050364800
1601	1170	5	1126224000
516	1170	5	1072051200
764	1170	5	1039824000
1124	1170	5	1402531200
578	1170	4	1133049600
1	1170	5	1135468800
175	1170	5	1071100800
209	1170	5	1331683200
1155	1170	5	1363651200
1019	1170	5	1319587200
115	1170	5	1071014400
6048	1170	5	1370476800
44	1170	5	1065225600
3013	1170	5	1041638400
6029	1170	4	1354665600
3450	1170	5	1006992000
3381	1170	5	975715200
2510	1170	4	1226361600
387	1170	5	1228521600
384	1170	5	1229126400
1016	1170	5	1100304000
275	1170	5	1136332800
435	1170	5	1166572800
1498	1170	5	1381363200
3098	1170	5	1354492800
2081	1170	4	1355097600
444	1170	5	1386374400
1922	1170	5	1070755200
52	1170	5	1322611200
437	1170	5	1036108800
2013	2399	5	1175731200
2346	2399	5	1357689600
214	2399	5	1359590400
454	2399	2	1262736000
5764	2399	5	1276128000
534	2399	4	1393200000
5896	2399	4	1183593600
3501	2399	5	1177372800
2433	2399	5	1199318400
4525	2399	5	1175472000
2231	2399	4	1402185600
1042	2399	5	1363132800
1	2399	4	1125100800
296	2399	3	1348444800
1986	2399	3	986601600
13	2399	4	1256515200
3504	2399	4	957484800
140	2399	3	1305676800
68	2399	3	1381795200
4492	2399	1	1082505600
1600	2399	5	1186617600
2447	2399	4	1197936000
4266	2399	3	1206835200
437	2399	4	1102809600
3991	2070	4	1057708800
846	2070	5	1144540800
1231	2070	4	1386633600
4256	2070	5	1015459200
214	2070	4	1359590400
1489	2070	3	1023148800
286	2070	4	1044057600
1304	2070	3	1223769600
964	2070	2	1085616000
1288	2070	5	1398211200
346	2070	3	1097366400
1101	2070	4	1089849600
835	2070	4	965865600
217	2070	4	1082160000
531	2070	5	1020124800
40	2070	5	1282780800
2906	2070	5	1350950400
22	2070	2	1043539200
1	2070	4	1175126400
614	2070	4	948499200
2384	2070	2	992304000
3932	2070	3	1354579200
1945	2070	2	1323820800
5524	2070	5	1005696000
424	2070	4	1118534400
1884	2070	4	1103068800
5563	2070	4	1231545600
587	2070	3	1204675200
3835	2070	3	1202256000
237	2070	5	1065744000
1952	2070	5	961891200
1700	2070	4	1251504000
176	2070	4	1383091200
505	1769	3	1023926400
846	1769	5	1141344000
1475	1769	4	1053993600
214	1769	5	1285804800
2290	1769	4	1224460800
4118	1769	5	1031356800
143	1769	4	1019001600
581	1769	5	1219536000
1366	1769	3	985132800
2500	1769	2	1351036800
1304	1769	4	1222819200
6156	1769	4	967680000
1070	1769	4	1149552000
1288	1769	3	1398816000
346	1769	4	1096761600
135	1769	4	1216771200
1101	1769	5	1089417600
4621	1769	4	1057622400
231	1769	3	1123459200
4639	1769	3	1397433600
217	1769	5	1095033600
38	1769	4	1193011200
5393	1769	4	1013040000
40	1769	5	1213747200
1548	1769	3	965606400
1969	1769	4	958953600
5506	1769	4	974937600
614	1769	4	948499200
2384	1769	4	981331200
3321	1769	5	949363200
4158	1769	5	1172793600
3928	1769	3	980985600
4280	1769	5	1287360000
1852	1769	1	1064361600
587	1769	3	1205539200
4263	1769	4	1150934400
